date,close,open,high,low,volume
2019/6/10,1335,1347.9,1347.9,1334.7,1.78K
2019/6/11,1337,1338,1339.2,1329.6,1.14K
2019/6/12,1342.5,1336.4,1347.6,1336.4,1.33K
2019/6/13,1349.5,1343,1352.5,1342.3,0.90K
2019/6/14,1350.4,1353.7,1367.8,1347.5,3.06K
2019/6/17,1348.8,1350.4,1352.6,1342.8,0.70K
2019/6/18,1356.6,1349.1,1364,1348.3,1.36K
2019/6/19,1354.7,1355.8,1372.2,1351,1.47K
2019/6/20,1402.9,1370.2,1403.4,1367.3,3.23K
2019/6/21,1405.9,1398.6,1420.9,1392.3,2.03K
2019/6/24,1424.1,1411.9,1430.7,1409.8,1.95K
2019/6/25,1424.6,1428.6,1447,1421.8,3.53K
2019/6/26,1421.2,1432.5,1432.6,1411,2.33K
2019/6/27,1417.9,1417.6,1420.8,1407.5,4.28K
2019/6/28,1419.6,1418.7,1433.5,1414.6,1.91K
2019/7/1,1395.3,1411,1411,1390.9,6.87K
2019/7/2,1414.2,1393.7,1429.2,1393.2,4.08K
2019/7/3,1427.1,1428.5,1446.8,1421.4,3.97K
2019/7/5,1406.3,1429.6,1432.6,1395,4.43K
2019/7/8,1406.2,1407.2,1415.9,1400.1,3.28K
2019/7/9,1406.8,1404,1408.1,1394,4.55K
2019/7/10,1418.8,1406.2,1427,1398.2,3.77K
2019/7/11,1413,1427.1,1435.6,1409.8,3.70K
2019/7/12,1418.5,1412.3,1425,1411.5,2.03K
2019/7/15,1419.9,1424,1427.6,1415.7,3.14K
2019/7/16,1417.6,1422.6,1426.1,1408.8,3.85K
2019/7/17,1429.7,1414.9,1434.6,1407.8,5.35K
2019/7/18,1434.5,1434.8,1456,1421.9,7.44K
2019/7/19,1433.2,1455.1,1460.3,1427.6,11.80K
2019/7/22,1433.4,1434.9,1437.2,1430,5.04K
2019/7/23,1428.2,1431.7,1437,1421.1,6.65K
2019/7/24,1430.2,1424.9,1436.6,1423.4,6.93K
2019/7/25,1421.2,1433,1440.6,1417.7,12.74K
2019/7/26,1425.9,1422.3,1431.4,1419.4,11.29K
2019/7/29,1427.2,1425.8,1434.7,1421.4,10.86K
2019/7/30,1441.8,1439.5,1445.7,1434.8,259.62K
2019/7/31,1437.8,1443.7,1447.8,1422.3,419.58K
2019/8/1,1432.4,1425.6,1458.2,1412.1,587.56K
2019/8/2,1457.5,1457.5,1461.9,1442.5,493.05K
2019/8/5,1476.5,1451.2,1481.8,1448.8,534.19K
2019/8/6,1484.2,1481.1,1486.8,1468.2,381.92K
2019/8/7,1519.6,1486.7,1522.7,1484.3,651.55K
2019/8/8,1509.5,1512.1,1521.3,1501.6,402.96K
2019/8/9,1508.5,1515.9,1521.1,1506.2,332.61K
2019/8/12,1517.2,1509.2,1531.5,1498.6,355.10K
2019/8/13,1514.1,1522.3,1546.1,1488.9,616.74K
2019/8/14,1527.8,1513,1534.9,1504.5,484.19K
2019/8/15,1531.2,1526.6,1537.7,1518.3,436.12K
2019/8/16,1523.6,1533.9,1538.6,1513.9,322.46K
2019/8/19,1511.6,1523,1523.6,1503.3,295.83K
2019/8/20,1515.7,1506.3,1518.8,1503,247.54K
2019/8/21,1515.7,1518.4,1518.4,1506.5,245.90K
2019/8/22,1508.5,1512.4,1514.6,1502.1,279.41K
2019/8/23,1537.6,1508.8,1540.3,1503,473.00K
2019/8/26,1537.2,1545.4,1565,1534.8,411.67K
2019/8/27,1551.8,1537.3,1554.5,1535.3,347.05K
2019/8/28,1549.1,1551.8,1556.6,1541.4,353.91K
2019/8/29,1536.9,1549.4,1559.8,1528.6,455.60K
